date,fund_house,aum_lakh_crore,aum_crore,num_schemes,year,month,year_month,aum_share_pct
2024-12-31,Nippon India MF,5.7,570000,177,2024,12,2024-12,10.82004555808656
2024-12-31,Kotak Mahindra MF,4.89,489000,168,2024,12,2024-12,9.28246013667426
2024-12-31,Aditya Birla Sun Life MF,3.84,384000,199,2024,12,2024-12,7.289293849658314
2024-12-31,Axis Mutual Fund,3.0,300000,95,2024,12,2024-12,5.694760820045558
2024-12-31,UTI Mutual Fund,3.52,352000,142,2024,12,2024-12,6.681852695520122
2024-12-31,Mirae Asset MF,2.1,210000,56,2024,12,2024-12,3.986332574031891
2024-12-31,DSP Mutual Fund,1.88,188000,88,2024,12,2024-12,3.568716780561883
2025-03-31,SBI Mutual Fund,12.5,1250000,186,2025,3,2025-03,22.948411969891684
2025-03-31,ICICI Prudential MF,8.8,880000,216,2025,3,2025-03,16.155682026803746
2025-03-31,HDFC Mutual Fund,7.95,795000,195,2025,3,2025-03,14.595190012851111
2025-03-31,Nippon India MF,5.6,560000,177,2025,3,2025-03,10.280888562511475
2025-03-31,Kotak Mahindra MF,4.92,492000,168,2025,3,2025-03,9.032494951349367
2025-03-31,Aditya Birla Sun Life MF,3.85,385000,199,2025,3,2025-03,7.068110886726639
2025-03-31,Axis Mutual Fund,3.1,310000,95,2025,3,2025-03,5.691206168533138
2025-03-31,UTI Mutual Fund,3.55,355000,142,2025,3,2025-03,6.517348999449238
2025-03-31,Mirae Asset MF,2.25,225000,56,2025,3,2025-03,4.130714154580503
2025-03-31,DSP Mutual Fund,1.95,195000,88,2025,3,2025-03,3.579952267303103
2025-12-31,SBI Mutual Fund,12.5,1250000,186,2025,12,2025-12,19.92349378386994
2025-12-31,ICICI Prudential MF,10.74,1074000,216,2025,12,2025-12,17.11826585910105
2025-12-31,HDFC Mutual Fund,9.3,930000,195,2025,12,2025-12,14.823079375199235
2025-12-31,Nippon India MF,7.0,700000,177,2025,12,2025-12,11.157156518967167
2025-12-31,Kotak Mahindra MF,5.8,580000,168,2025,12,2025-12,9.244501115715652
2025-12-31,Aditya Birla Sun Life MF,4.6,460000,199,2025,12,2025-12,7.331845712464137
2025-12-31,Axis Mutual Fund,3.5,350000,95,2025,12,2025-12,5.578578259483583
2025-12-31,UTI Mutual Fund,4.1,410000,142,2025,12,2025-12,6.53490596110934
2025-12-31,Mirae Asset MF,2.9,290000,56,2025,12,2025-12,4.622250557857826
2025-12-31,DSP Mutual Fund,2.3,230000,88,2025,12,2025-12,3.6659228562320685
